DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,19,2,NA,NA,0.009,56
NOVIEMBRE,19,3,NA,NA,0.009,49
NOVIEMBRE,19,4,NA,NA,0.009,39
NOVIEMBRE,19,5,NA,NA,0.009,37
NOVIEMBRE,19,6,NA,NA,0.009,29
NOVIEMBRE,19,7,NA,NA,0.009,23
NOVIEMBRE,19,8,NA,NA,0.008,29
NOVIEMBRE,19,9,NA,NA,0.008,43
NOVIEMBRE,19,10,NA,NA,0.008,58
NOVIEMBRE,19,11,NA,NA,0.009,55
NOVIEMBRE,19,12,NA,NA,0.009,46
NOVIEMBRE,19,13,NA,NA,0.010,43
NOVIEMBRE,19,14,NA,NA,0.010,42
NOVIEMBRE,19,15,NA,NA,0.010,38
NOVIEMBRE,19,16,NA,NA,0.010,34
NOVIEMBRE,19,17,NA,NA,0.010,30
NOVIEMBRE,19,18,NA,NA,0.010,28
NOVIEMBRE,19,19,NA,NA,0.010,25
NOVIEMBRE,19,20,NA,NA,0.010,28
NOVIEMBRE,19,21,NA,NA,0.010,30
NOVIEMBRE,19,22,NA,NA,0.010,33
NOVIEMBRE,19,23,NA,NA,0.010,35
NOVIEMBRE,20,0,NA,NA,0.010,31
NOVIEMBRE,20,1,NA,NA,0.010,34
NOVIEMBRE,20,2,NA,NA,0.010,35
NOVIEMBRE,20,3,NA,NA,0.010,34
NOVIEMBRE,20,4,NA,NA,0.010,37
NOVIEMBRE,20,5,NA,NA,0.010,38
NOVIEMBRE,20,6,NA,NA,0.010,36
NOVIEMBRE,20,7,NA,NA,0.010,28
NOVIEMBRE,20,8,NA,NA,0.009,23
NOVIEMBRE,20,9,NA,NA,0.009,27
NOVIEMBRE,20,10,NA,NA,0.009,31
NOVIEMBRE,20,11,NA,NA,0.008,31
